date_index,AverageWeeklyHours,ChallengerJobCuts,UnemploymentRate,7YearNoteAuction,CoreCPIMoM,FedInterestRateDecision,BloombergConsumerConfidence,MichiganInflationExpectations,ChicagoPMI,MBA30YearMortgageRate,EIAWeeklyDistillatesStocks,DomesticTruckSales,TradeBalance
2006-03-24,,87.44K,4.80%,,0.20%,4.50%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B
2006-03-28,,87.44K,4.80%,,0.20%,4.75%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B
2006-03-31,,87.44K,4.80%,,0.20%,4.75%,,3.00%,59.5,6.23%,-0.78M,7.62M,-62.90B
2006-04-01,34.4,64.98K,4.70%,,0.30%,4.75%,,3.00%,59.4,6.38%,-2.48M,7.64M,-62.60B
2006-04-07,34.4,64.98K,4.70%,,0.30%,4.75%,,3.00%,59.4,6.38%,-2.48M,7.64M,-62.60B
2006-04-13,34.4,64.98K,4.70%,,0.30%,4.75%,,3.00%,59.4,6.38%,-2.48M,7.64M,-62.60B
2006-04-14,34.4,64.98K,4.70%,,0.30%,4.75%,,3.00%,59.4,6.38%,-2.48M,7.64M,-62.60B
2006-04-21,34.4,64.98K,4.70%,,0.30%,4.75%,,3.00%,59.4,6.38%,-2.48M,7.64M,-62.60B
2006-04-28,34.4,64.98K,4.70%,,0.30%,4.75%,,3.00%,59.4,6.38%,-2.48M,7.64M,-62.60B
2006-05-01,34.6,59.69K,4.70%,,0.20%,4.75%,,3.30%,57.6,6.54%,-1.77M,7.23M,-62.80B
2006-05-05,34.6,59.69K,4.70%,,0.20%,4.75%,,3.30%,57.6,6.54%,-1.77M,7.23M,-62.80B
2006-05-10,34.6,59.69K,4.70%,,0.20%,5.00%,,3.30%,57.6,6.54%,-1.77M,7.23M,-62.80B
2006-05-12,34.6,59.69K,4.70%,,0.20%,5.00%,,3.30%,57.6,6.54%,-1.77M,7.23M,-62.80B
2006-05-19,34.6,59.69K,4.70%,,0.20%,5.00%,,3.30%,57.6,6.54%,-1.77M,7.23M,-62.80B
2006-05-26,34.6,59.69K,4.70%,,0.20%,5.00%,,3.30%,57.6,6.54%,-1.77M,7.23M,-62.80B
2006-06-01,34.5,53.72K,4.60%,,0.30%,5.00%,,4.00%,58.8,6.63%,1.18M,7.21M,-64.80B
2006-06-02,34.5,53.72K,4.60%,,0.30%,5.00%,,4.00%,58.8,6.63%,1.18M,7.21M,-64.80B
2006-06-09,34.5,53.72K,4.60%,,0.30%,5.00%,,4.00%,58.8,6.63%,1.18M,7.21M,-64.80B
2006-06-16,34.5,53.72K,4.60%,,0.30%,5.00%,,4.00%,58.8,6.63%,1.18M,7.21M,-64.80B
2006-06-23,34.5,53.72K,4.60%,,0.30%,5.00%,,4.00%,58.8,6.63%,1.18M,7.21M,-64.80B
2006-06-29,34.5,53.72K,4.60%,,0.30%,5.25%,,4.00%,58.8,6.63%,1.18M,7.21M,-64.80B
2006-06-30,34.5,53.72K,4.60%,,0.30%,5.25%,,4.00%,58.8,6.63%,1.18M,7.21M,-64.80B
2006-07-01,34.6,75.08K,4.60%,,0.20%,5.25%,,3.30%,56.5,6.74%,1.68M,7.48M,-63.50B
2006-07-06,34.6,75.08K,4.60%,,0.20%,5.25%,,3.30%,56.5,6.74%,1.68M,7.48M,-63.50B
2006-07-07,34.6,75.08K,4.60%,,0.20%,5.25%,,3.30%,56.5,6.74%,1.68M,7.48M,-63.50B
2006-07-14,34.6,75.08K,4.60%,,0.20%,5.25%,,3.30%,56.5,6.74%,1.68M,7.48M,-63.50B
2006-07-21,34.6,75.08K,4.60%,,0.20%,5.25%,,3.30%,56.5,6.74%,1.68M,7.48M,-63.50B
2006-07-28,34.6,75.08K,4.60%,,0.20%,5.25%,,3.30%,56.5,6.74%,1.68M,7.48M,-63.50B
2006-08-01,34.5,37.18K,4.70%,,0.20%,5.25%,,3.20%,56.7,6.70%,1.24M,7.68M,-66.50B
2006-08-04,34.5,37.18K,4.70%,,0.20%,5.25%,,3.20%,56.7,6.70%,1.24M,7.68M,-66.50B
2006-08-11,34.5,37.18K,4.70%,,0.20%,5.25%,,3.20%,56.7,6.70%,1.24M,7.68M,-66.50B
2006-08-18,34.5,37.18K,4.70%,,0.20%,5.25%,,3.20%,56.7,6.70%,1.24M,7.68M,-66.50B
2006-08-25,34.5,37.18K,4.70%,,0.20%,5.25%,,3.20%,56.7,6.70%,1.24M,7.68M,-66.50B
2006-09-01,34.5,65.28K,4.70%,,0.20%,5.25%,,3.80%,56.9,6.42%,1.48M,6.98M,-67.80B
2006-09-08,34.5,65.28K,4.70%,,0.20%,5.25%,,3.80%,56.9,6.42%,1.48M,6.98M,-67.80B
2006-09-15,34.5,65.28K,4.70%,,0.20%,5.25%,,3.80%,56.9,6.42%,1.48M,6.98M,-67.80B
2006-09-22,34.5,65.28K,4.70%,,0.20%,5.25%,,3.80%,56.9,6.42%,1.48M,6.98M,-67.80B
2006-09-29,34.5,65.28K,4.70%,,0.20%,5.25%,,3.80%,56.9,6.42%,1.48M,6.98M,-67.80B
2006-10-01,34.5,100.32K,4.50%,,0.20%,5.25%,,3.10%,58.7,6.28%,2.89M,7.41M,-64.90B
2006-10-06,34.5,100.32K,4.50%,,0.20%,5.25%,,3.10%,58.7,6.28%,2.89M,7.41M,-64.90B
2006-10-13,34.5,100.32K,4.50%,,0.20%,5.25%,,3.10%,58.7,6.28%,2.89M,7.41M,-64.90B
2006-10-20,34.5,100.32K,4.50%,,0.20%,5.25%,,3.10%,58.7,6.28%,2.89M,7.41M,-64.90B
2006-10-27,34.5,100.32K,4.50%,,0.20%,5.25%,,3.10%,58.7,6.28%,2.89M,7.41M,-64.90B
2006-11-01,34.5,69.18K,4.40%,,0.20%,5.25%,,3.10%,53.9,6.29%,-2.56M,7.34M,-59.00B
2006-11-03,34.5,69.18K,4.40%,,0.20%,5.25%,,3.10%,53.9,6.29%,-2.56M,7.34M,-59.00B
2006-11-10,34.5,69.18K,4.40%,,0.20%,5.25%,,3.10%,53.9,6.29%,-2.56M,7.34M,-59.00B
2006-11-17,34.5,69.18K,4.40%,,0.20%,5.25%,,3.10%,53.9,6.29%,-2.56M,7.34M,-59.00B
2006-11-22,34.5,69.18K,4.40%,,0.20%,5.25%,,3.10%,53.9,6.29%,-2.56M,7.34M,-59.00B
2006-11-24,34.5,69.18K,4.40%,,0.20%,5.25%,,3.10%,53.9,6.29%,-2.56M,7.34M,-59.00B
2006-12-01,34.5,76.77K,4.50%,,0.10%,5.25%,,3.00%,51.1,6.12%,-1.76M,7.28M,-58.60B
2006-12-08,34.5,76.77K,4.50%,,0.10%,5.25%,,3.00%,51.1,6.12%,-1.76M,7.28M,-58.60B
2006-12-15,34.5,76.77K,4.50%,,0.10%,5.25%,,3.00%,51.1,6.12%,-1.76M,7.28M,-58.60B
2006-12-22,34.5,76.77K,4.50%,,0.10%,5.25%,,3.00%,51.1,6.12%,-1.76M,7.28M,-58.60B
2006-12-29,34.5,76.77K,4.50%,,0.10%,5.25%,,3.00%,51.1,6.12%,-1.76M,7.28M,-58.60B
2007-01-01,34.7,54.64K,4.40%,,0.10%,5.25%,,2.90%,51.6,6.11%,0.74M,7.21M,-61.60B
2007-01-05,34.7,54.64K,4.40%,,0.10%,5.25%,,2.90%,51.6,6.11%,0.74M,7.21M,-61.60B
2007-01-06,34.7,54.64K,4.40%,,0.10%,5.25%,,2.90%,51.6,6.11%,0.74M,7.21M,-61.60B
2007-01-12,34.7,54.64K,4.40%,,0.10%,5.25%,,2.90%,51.6,6.11%,0.74M,7.21M,-61.60B
2007-01-19,34.7,54.64K,4.40%,,0.10%,5.25%,,2.90%,51.6,6.11%,0.74M,7.21M,-61.60B
2007-01-26,34.7,54.64K,4.40%,,0.10%,5.25%,,2.90%,51.6,6.11%,0.74M,7.21M,-61.60B
2007-02-01,34.5,62.98K,4.60%,,0.20%,5.25%,,3.00%,52.1,6.21%,0.49M,7.25M,-57.70B
2007-02-02,34.5,62.98K,4.60%,,0.20%,5.25%,,3.00%,52.1,6.21%,0.49M,7.25M,-57.70B
2007-02-09,34.5,62.98K,4.60%,,0.20%,5.25%,,3.00%,52.1,6.21%,0.49M,7.25M,-57.70B
2007-02-16,34.5,62.98K,4.60%,,0.20%,5.25%,,3.00%,52.1,6.21%,0.49M,7.25M,-57.70B
2007-02-23,34.5,62.98K,4.60%,,0.20%,5.25%,,3.00%,52.1,6.21%,0.49M,7.25M,-57.70B
2007-03-01,34.5,84.01K,4.50%,,0.30%,5.25%,,3.00%,51.2,6.18%,-3.52M,7.68M,-58.50B
2007-03-02,34.5,84.01K,4.50%,,0.30%,5.25%,,3.00%,51.2,6.18%,-3.52M,7.68M,-58.50B
2007-03-09,34.5,84.01K,4.50%,,0.30%,5.25%,,3.00%,51.2,6.18%,-3.52M,7.68M,-58.50B
2007-03-16,34.5,84.01K,4.50%,,0.30%,5.25%,,3.00%,51.2,6.18%,-3.52M,7.68M,-58.50B
2007-03-23,34.5,84.01K,4.50%,,0.30%,5.25%,,3.00%,51.2,6.18%,-3.52M,7.68M,-58.50B
2007-03-30,34.5,84.01K,4.50%,,0.30%,5.25%,,3.00%,51.2,6.18%,-3.52M,7.68M,-58.50B
2007-04-01,34.6,49.00K,4.40%,,0.10%,5.25%,,3.00%,58.6,6.06%,-1.31M,7.14M,-61.80B
2007-04-06,34.6,49.00K,4.40%,,0.10%,5.25%,,3.00%,58.6,6.06%,-1.31M,7.14M,-61.80B
2007-04-13,34.6,49.00K,4.40%,,0.10%,5.25%,,3.00%,58.6,6.06%,-1.31M,7.14M,-61.80B
2007-04-20,34.6,49.00K,4.40%,,0.10%,5.25%,,3.00%,58.6,6.06%,-1.31M,7.14M,-61.80B
2007-04-27,34.6,49.00K,4.40%,,0.10%,5.25%,,3.00%,58.6,6.06%,-1.31M,7.14M,-61.80B
2007-05-01,34.5,70.67K,4.50%,,0.20%,5.25%,,3.30%,54.2,6.16%,-0.12M,7.40M,-60.50B
2007-05-04,34.5,70.67K,4.50%,,0.20%,5.25%,,3.30%,54.2,6.16%,-0.12M,7.40M,-60.50B
2007-05-11,34.5,70.67K,4.50%,,0.20%,5.25%,,3.30%,54.2,6.16%,-0.12M,7.40M,-60.50B
2007-05-18,34.5,70.67K,4.50%,,0.20%,5.25%,,3.30%,54.2,6.16%,-0.12M,7.40M,-60.50B
2007-05-25,34.5,70.67K,4.50%,,0.20%,5.25%,,3.30%,54.2,6.16%,-0.12M,7.40M,-60.50B
2007-06-01,34.6,71.12K,4.40%,,0.10%,5.25%,,3.30%,60.6,6.23%,0.97M,7.09M,-59.30B
2007-06-08,34.6,71.12K,4.40%,,0.10%,5.25%,,3.30%,60.6,6.23%,0.97M,7.09M,-59.30B
2007-06-15,34.6,71.12K,4.40%,,0.10%,5.25%,,3.30%,60.6,6.23%,0.97M,7.09M,-59.30B
2007-06-22,34.6,71.12K,4.40%,,0.10%,5.25%,,3.30%,60.6,6.23%,0.97M,7.09M,-59.30B
2007-06-29,34.6,71.12K,4.40%,,0.10%,5.25%,,3.30%,60.6,6.23%,0.97M,7.09M,-59.30B
2007-07-01,34.6,55.73K,4.60%,,0.20%,5.25%,,3.40%,58.3,6.57%,-0.07M,6.90M,-59.50B
2007-07-06,34.6,55.73K,4.60%,,0.20%,5.25%,,3.40%,58.3,6.57%,-0.07M,6.90M,-59.50B
2007-07-13,34.6,55.73K,4.60%,,0.20%,5.25%,,3.40%,58.3,6.57%,-0.07M,6.90M,-59.50B
2007-07-20,34.6,55.73K,4.60%,,0.20%,5.25%,,3.40%,58.3,6.57%,-0.07M,6.90M,-59.50B
2007-07-27,34.6,55.73K,4.60%,,0.20%,5.25%,,3.40%,58.3,6.57%,-0.07M,6.90M,-59.50B
2007-08-01,34.6,42.90K,4.70%,,0.20%,5.25%,,3.40%,52.8,6.57%,1.21M,6.92M,-59.90B
2007-08-03,34.6,42.90K,4.70%,,0.20%,5.25%,,3.40%,52.8,6.57%,1.21M,6.92M,-59.90B
2007-08-10,34.6,42.90K,4.70%,,0.20%,5.25%,,3.40%,52.8,6.57%,1.21M,6.92M,-59.90B
2007-08-17,34.6,42.90K,4.70%,,0.20%,5.25%,,3.40%,52.8,6.57%,1.21M,6.92M,-59.90B
2007-08-24,34.6,42.90K,4.70%,,0.20%,5.25%,,3.40%,52.8,6.57%,1.21M,6.92M,-59.90B
2007-08-31,34.6,42.90K,4.70%,,0.20%,5.25%,,3.40%,52.8,6.57%,1.21M,6.92M,-59.90B
2007-09-01,34.6,79.46K,4.60%,,0.20%,5.25%,,3.20%,52.2,6.44%,1.14M,7.39M,-57.00B
2007-09-07,34.6,79.46K,4.60%,,0.20%,5.25%,,3.20%,52.2,6.44%,1.14M,7.39M,-57.00B
2007-09-14,34.6,79.46K,4.60%,,0.20%,5.25%,,3.20%,52.2,6.44%,1.14M,7.39M,-57.00B
2007-09-21,34.6,79.46K,4.60%,,0.20%,5.25%,,3.20%,52.2,6.44%,1.14M,7.39M,-57.00B
2007-09-28,34.6,79.46K,4.60%,,0.20%,5.25%,,3.20%,52.2,6.44%,1.14M,7.39M,-57.00B
2007-10-01,34.6,71.74K,4.70%,,0.20%,5.25%,,3.10%,52.7,6.31%,0.93M,7.26M,-57.80B
2007-10-05,34.6,71.74K,4.70%,,0.20%,5.25%,,3.10%,52.7,6.31%,0.93M,7.26M,-57.80B
2007-10-12,34.6,71.74K,4.70%,,0.20%,5.25%,,3.10%,52.7,6.31%,0.93M,7.26M,-57.80B
2007-10-19,34.6,71.74K,4.70%,,0.20%,5.25%,,3.10%,52.7,6.31%,0.93M,7.26M,-57.80B
2007-10-26,34.6,71.74K,4.70%,,0.20%,5.25%,,3.10%,52.7,6.31%,0.93M,7.26M,-57.80B
2007-11-01,34.5,63.11K,4.70%,,0.20%,5.25%,,3.10%,50.8,6.27%,-0.12M,7.15M,-56.50B
2007-11-02,34.5,63.11K,4.70%,,0.20%,5.25%,,3.10%,50.8,6.27%,-0.12M,7.15M,-56.50B
2007-11-09,34.5,63.11K,4.70%,,0.20%,5.25%,,3.10%,50.8,6.27%,-0.12M,7.15M,-56.50B
2007-11-16,34.5,63.11K,4.70%,,0.20%,5.25%,,3.10%,50.8,6.27%,-0.12M,7.15M,-56.50B
2007-11-21,34.5,63.11K,4.70%,,0.20%,5.25%,,3.10%,50.8,6.27%,-0.12M,7.15M,-56.50B
2007-11-23,34.5,63.11K,4.70%,,0.20%,5.25%,,3.10%,50.8,6.27%,-0.12M,7.15M,-56.50B
2007-11-30,34.5,63.11K,4.70%,,0.20%,5.25%,,3.10%,50.8,6.27%,-0.12M,7.15M,-56.50B
2007-12-01,34.5,73.14K,4.70%,,0.30%,5.25%,,3.40%,53.4,6.08%,-0.68M,6.73M,-59.70B
2007-12-07,34.5,73.14K,4.70%,,0.30%,5.25%,,3.40%,53.4,6.08%,-0.68M,6.73M,-59.70B
2007-12-11,34.5,73.14K,4.70%,,0.30%,4.25%,,3.40%,53.4,6.08%,-0.68M,6.73M,-59.70B
2007-12-14,34.5,73.14K,4.70%,,0.30%,4.25%,,3.40%,53.4,6.08%,-0.68M,6.73M,-59.70B
2007-12-21,34.5,73.14K,4.70%,,0.30%,4.25%,,3.40%,53.4,6.08%,-0.68M,6.73M,-59.70B
2007-12-27,34.5,73.14K,4.70%,,0.30%,4.25%,,3.40%,53.4,6.08%,-0.68M,6.73M,-59.70B
2007-12-28,34.5,73.14K,4.70%,,0.30%,4.25%,,3.40%,53.4,6.08%,-0.68M,6.73M,-59.70B
2008-01-01,34.6,44.42K,5%,,0.20%,4.25%,,3.40%,55.9,6.08%,-1.16M,6.75M,-57.20B
2008-01-03,34.6,44.42K,5%,,0.20%,4.25%,,3.40%,55.9,6.08%,-1.16M,6.75M,-57.20B
2008-01-04,34.6,44.42K,5%,,0.20%,4.25%,,3.40%,55.9,6.08%,-1.16M,6.75M,-57.20B
2008-01-11,34.6,44.42K,5%,,0.20%,4.25%,,3.40%,55.9,6.08%,-1.16M,6.75M,-57.20B
2008-01-18,34.6,44.42K,5%,,0.20%,4.25%,,3.40%,55.9,6.08%,-1.16M,6.75M,-57.20B
2008-01-22,34.6,44.42K,5%,,0.20%,3.50%,,3.40%,55.9,6.08%,-1.16M,6.75M,-57.20B
2008-01-25,34.6,44.42K,5%,,0.20%,3.50%,,3.40%,55.9,6.08%,-1.16M,6.75M,-57.20B
2008-01-30,34.6,44.42K,5%,,0.20%,3.00%,,3.40%,55.9,6.08%,-1.16M,6.75M,-57.20B
2008-02-01,34.5,74.99K,5%,,0.20%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,-57.20B
2008-02-08,34.5,74.99K,5%,,0.20%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,-57.20B
2008-02-13,34.5,74.99K,5%,,0.20%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,-57.20B
2008-02-14,34.5,74.99K,5%,,0.20%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-15,34.5,74.99K,5%,,0.20%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-19,34.5,74.99K,5%,,0.20%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-20,34.5,74.99K,5%,,0.30%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-21,34.5,74.99K,5%,,0.30%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-22,34.5,74.99K,5%,,0.30%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-24,34.5,74.99K,5%,,0.30%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-25,34.5,74.99K,5%,,0.30%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-26,34.5,74.99K,5%,,0.30%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-27,34.5,74.99K,5%,,0.30%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-28,34.5,74.99K,5%,,0.30%,3.00%,,3.40%,55.9,5.60%,-0.08M,6.65M,0.0B
2008-02-29,34.5,74.99K,5%,,0.30%,3.00%,,3.40%,44.5,5.60%,-0.08M,6.65M,0.0B
2008-03-01,34.5,72.09K,4.90%,,0.30%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,0.0B
2008-03-03,34.5,72.09K,4.90%,,0.30%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,0.0B
2008-03-05,34.5,72.09K,4.90%,,0.30%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,0.0B
2008-03-06,34.5,72.09K,4.90%,,0.30%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,0.0B
2008-03-07,34.5,72.09K,4.90%,,0.30%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,0.0B
2008-03-10,34.5,72.09K,4.90%,,0.30%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,0.0B
2008-03-11,34.5,72.09K,4.90%,,0.30%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-12,34.5,72.09K,4.90%,,0.30%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-13,34.5,72.09K,4.90%,,0.30%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-14,34.5,72.09K,4.90%,,0.00%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-17,34.5,72.09K,4.90%,,0.00%,3.00%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-18,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-19,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-20,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-21,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-24,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-25,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-26,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-27,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-28,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,44.5,6.00%,-2.26M,6.62M,-58.2B
2008-03-31,34.5,72.09K,4.90%,,0.00%,2.25%,,3.60%,48.2,6.00%,-2.26M,6.62M,-58.2B
2008-04-01,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-58.2B
2008-04-02,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-58.2B
2008-04-03,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-58.2B
2008-04-04,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-58.2B
2008-04-07,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-58.2B
2008-04-08,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-58.2B
2008-04-09,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-58.2B
2008-04-10,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-11,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-14,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-15,34.6,53.58K,5.10%,,0.00%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-16,34.6,53.58K,5.10%,,0.20%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-17,34.6,53.58K,5.10%,,0.20%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-18,34.6,53.58K,5.10%,,0.20%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-21,34.6,53.58K,5.10%,,0.20%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-22,34.6,53.58K,5.10%,,0.20%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-23,34.6,53.58K,5.10%,,0.20%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-24,34.6,53.58K,5.10%,,0.20%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-25,34.6,53.58K,5.10%,,0.20%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-29,34.6,53.58K,5.10%,,0.20%,2.25%,,4.30%,48.2,5.95%,-2.06M,6.25M,-62.3B
2008-04-30,34.6,53.58K,5.10%,,0.20%,2.00%,,4.30%,48.3,5.95%,-2.06M,6.25M,-62.3B
2008-05-01,34.5,90.02K,5%,,0.20%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-62.3B
2008-05-02,34.5,90.02K,5%,,0.20%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-62.3B
2008-05-05,34.5,90.02K,5%,,0.20%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-62.3B
2008-05-07,34.5,90.02K,5%,,0.20%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-62.3B
2008-05-08,34.5,90.02K,5%,,0.20%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-62.3B
2008-05-09,34.5,90.02K,5%,,0.20%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-13,34.5,90.02K,5%,,0.20%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-14,34.5,90.02K,5%,,0.10%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-15,34.5,90.02K,5%,,0.10%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-16,34.5,90.02K,5%,,0.10%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-20,34.5,90.02K,5%,,0.10%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-21,34.5,90.02K,5%,,0.10%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-22,34.5,90.02K,5%,,0.10%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-23,34.5,90.02K,5%,,0.10%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-27,34.5,90.02K,5%,,0.10%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
2008-05-28,34.5,90.02K,5%,,0.10%,2.00%,,4.80%,48.3,5.90%,-0.73M,5.70M,-58.2B
